City,pop2019,City,2018 Rank,Population 2018,County
Los Angeles,4057841,Los Angeles,1,3990456,Los Angeles
San Diego,1453775,San Diego,2,1425976,San Diego
San Jose,1033519,San Jose,3,1030119,Santa Clara
San Francisco,897536,San Francisco,4,883305,San Francisco
Fresno,532703,Fresno,5,530093,Fresno
Sacramento,513330,Sacramento,6,508529,Sacramento
Long Beach,466203,Long Beach,7,467354,Los Angeles
Oakland,426410,Oakland,8,429082,Alameda
Bakersfield,388092,Bakersfield,9,383579,Kern
Anaheim,356308,Anaheim,10,352005,Orange
Riverside,335048,Santa Ana,11,332725,Orange
Santa Ana,334811,Riverside,12,330063,Riverside
Stockton,314584,Stockton,13,311178,San Joaquin
Irvine,297019,Irvine,14,282572,Orange
Chula Vista,273565,Chula Vista,15,271651,San Diego
Fremont,238281,Fremont,16,237807,Alameda
Modesto,218436,San Bernardino,17,215941,San Bernardino
San Bernardino,218306,Modesto,18,215030,Stanislaus
Fontana,217981,Fontana,19,213739,San Bernardino
Oxnard,211926,Santa Clarita,20,210089,Los Angeles
Moreno Valley,211682,Oxnard,21,209877,Ventura
Glendale,204008,Moreno Valley,22,209050,Riverside
Huntington Beach,199470,Glendale,23,201361,Los Angeles
Santa Clarita,183922,Huntington Beach,24,200641,Orange
Rancho Cucamonga,181823,Ontario,25,181107,San Bernardino
Ontario,180583,Rancho Cucamonga,26,177751,San Bernardino
Elk Grove,179835,Santa Rosa,27,177586,Sonoma
Oceanside,176466,Oceanside,28,176080,San Diego
Santa Rosa,176439,Elk Grove,29,172886,Sacramento
Corona,176163,Garden Grove,30,172646,Orange
Garden Grove,175428,Corona,31,168819,Riverside
Hayward,162459,Lancaster,32,161103,Los Angeles
Lancaster,159800,Hayward,33,159620,Alameda
Salinas,158850,Palmdale,34,156667,Los Angeles
Sunnyvale,157727,Salinas,35,156259,Monterey
Palmdale,157125,Sunnyvale,36,153185,Santa Clara
Escondido,153242,Pomona,37,152361,Los Angeles
Pomona,152788,Escondido,38,152213,San Diego
Torrance,145857,Torrance,39,145182,Los Angeles
Pasadena,143922,Pasadena,40,141371,Los Angeles
Fullerton,142119,Fullerton,41,139640,Orange
Roseville,140930,Orange,42,139484,Orange
Orange,140723,Roseville,43,139117,Placer
Visalia,135337,Visalia,44,133800,Tulare
Concord,130487,Concord,45,129688,Contra Costa
Thousand Oaks,128810,Santa Clara,46,129488,Santa Clara
Santa Clara,126701,Thousand Oaks,47,127690,Ventura
Simi Valley,126213,Simi Valley,48,125851,Ventura
Victorville,123345,Victorville,49,122312,San Bernardino
Berkeley,123121,Vallejo,50,121913,Solano
Vallejo,122919,Berkeley,51,121643,Alameda
Fairfield,121470,Fairfield,52,116884,Solano
Murrieta,118445,Carlsbad,53,115877,San Diego
Temecula,117416,El Monte,54,115586,Los Angeles
Carlsbad,116031,Murrieta,55,114985,Riverside
El Monte,115039,Temecula,56,114742,Riverside
Clovis,114554,Costa Mesa,57,113615,Orange
Costa Mesa,113068,Downey,58,112269,Los Angeles
Antioch,113025,Clovis,59,112022,Fresno
Downey,112379,Antioch,60,111535,Contra Costa
Richmond,111232,Ventura,61,111128,Ventura
Santa Maria,110589,Richmond,62,110146,Contra Costa
San Buenaventura Ventura,110354,Inglewood,63,109419,Los Angeles
Inglewood,109529,Jurupa Valley,64,108393,Riverside
Jurupa Valley,109040,Santa Maria,65,107408,Santa Barbara
West Covina,107808,Daly City,66,107008,San Mateo
Daly City,107000,West Covina,67,106311,Los Angeles
San Mateo,106029,Norwalk,68,105120,Los Angeles
Vista,105214,San Mateo,69,105025,San Mateo
Norwalk,105119,Burbank,70,103695,Los Angeles
El Cajon,104719,Rialto,71,103440,San Bernardino
Rialto,104682,El Cajon,72,103241,San Diego
Vacaville,103955,Vista,73,101224,San Diego
Burbank,103418,Vacaville,74,100154,Solano
San Marcos,103025,San Marcos,75,96847,San Diego
Comn,96500,Compton,76,96617,Los Angeles
Tracy,96039,Hesperia,77,95274,San Bernardino
Hesperia,95755,Mission Viejo,78,95202,Orange
Chico,95476,Chico,79,94776,Butte
Mission Viejo,95352,South Gate,80,94443,Los Angeles
Chino,95015,Menifee,81,92595,Riverside
South Gate,94509,Carson,82,91909,Los Angeles
Menifee,93625,Tracy,83,91812,San Joaquin
Livermore,92982,Redding,84,91772,Shasta
Redding,92840,Chino,85,91583,San Bernardino
Santa Barbara,92815,Santa Monica,86,91411,Los Angeles
Indio,92322,Santa Barbara,87,91350,Santa Barbara
Carson,92233,Indio,88,91240,Riverside
Santa Monica,91857,Westminster,89,90938,Orange
Pleasanton,91525,Livermore,90,90269,Alameda
Westminster,91070,,,,
San Leandro,90618,San Leandro,91,89703,Alameda
Citrus Heights,89382,Citrus Heights,92,87910,Sacramento
Hawthorne,88322,Hawthorne,93,86965,Los Angeles
Alhambra,86722,Alhambra,99,84649,Los Angeles
Whittier,86694,Whittier,95,86064,Los Angeles
Lake Forest,86519,Lake Forest,96,85623,Orange
Newport Beach,86457,Newport Beach,97,85326,Orange
Hemet,86393,Hemet,98,85275,Riverside
Redwood City,84602,Redwood City,94,86200,San Mateo
Merced,84331,,,,
Buena Park,83840,,,,
Manteca,82134,,,,
Mountain View,81500,,,,
Lakewood,81126,,,,
Napa,81019,,,,
Chino Hills,80988,Chino Hills,100,83447,San Bernardino
Tustin,80884,,,,
Perris,80771,,,,
Folsom,80622,,,,
Alameda,80535,,,,
Union City,78550,,,,
Milpitas,78305,,,,
Upland,78022,,,,
San Ramon,77256,,,,
Bellflower,77187,,,,
Rancho Cordova,76955,,,,
Baldwin Park,75972,,,,
Turlock,75319,,,,
Pittsburg,75140,,,,
Apple Valley,74272,,,,
Redlands,72596,,,,
Walnut Creek,70433,,,,
Davis,70220,,,,
Lake Elsinore,70010,,,,
Lynwood,69999,,,,
Yorba Linda,69870,,,,
Palo Alto,68395,,,,
Redondo Beach,68152,,,,
Rocklin,68007,,,,
Yuba City,67568,,,,
Camarillo,67435,,,,
South San Francisco,66629,,,,
Madera,66028,,,,
Brentwood,65827,,,,
Dublin,65790,,,,
Santa Cruz,65524,,,,
San Clemente,65477,,,,
Lodi,65466,,,,
Eastvale,65162,,,,
Tulare,64807,,,,
Laguna Niguel,64722,,,,
Encinitas,64238,,,,
Pico Rivera,62990,,,,
Montebello,62681,,,,
National City,61897,,,,
Cupertino,61600,,,,
Woodland,61255,,,,
Gilroy,61252,,,,
Petaluma,61046,,,,
La Habra,61043,,,,
Monterey Park,60958,,,,
La Mesa,60164,,,,
Gardena,59880,,,,
Arcadia,59879,,,,
Porterville,58912,,,,
San Rafael,58447,,,,
Santee,58416,,,,
Huntington Park,58252,,,,
Novato,57558,,,,
Diamond Bar,57462,,,,
Hanford,55991,,,,
Fountain Valley,55866,,,,
Aliso Viejo,55741,,,,
Highland,55602,,,,
Colton,55432,,,,
Cathedral City,55346,,,,
Watsonville,54627,,,,
West Sacramento,54406,,,,
Paramount,54336,,,,
Rosemead,54221,,,,
Palm Desert,53890,,,,
Yucaipa,53672,,,,
Cerritos,53156,,,,
Delano,53034,,,,
Glendora,52268,,,,
Placentia,52075,,,,
Beaumont,50509,,,,
Azusa,50267,,,,
Poway,50254,,,,
Ceres,50009,,,,
San Jacinto,49321,,,,
Palm Springs,49153,,,,
La Mirada,49108,,,,
Lincoln,49088,,,,
San Luis Obispo,48529,,,,
Rancho Santa Margarita,48516,,,,
Cypress,48366,,,,
Morgan Hill,48328,,,,
Covina,48087,,,,
Newark,47688,,,,
Coachella,46345,,,,
Danville,45780,,,,
El Centro,45224,,,,
Brea,44577,,,,
Rohnert Park,43444,,,,
Oakley,43442,,,,
La Quinta,42861,,,,
Bell Gardens,42647,,,,
Lompoc,42635,,,,
