SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4600 Manila Ave,Oakland,CA,94609,899000,2,1,Alameda County,1065,,1922,1,844,,Active,June-24-2019 10:00 AM,June-24-2019 01:00 PM,BAREIS,21913970,N,Y,37.8336994,-122.2559137
MLS Listing,,Single Family Residential,18238 10th St,Bloomington,CA,92316,280000,3,1,265 - Bloomington,958,7900,1957,1,292,,Active,,,CRMLS,SW19147838,N,Y,34.0437582,-117.4064229
MLS Listing,,Condo/Co-op,438 W Grand Ave #722,Oakland,CA,94612,849000,2,2,Uptown,1388,,2008,1,612,586,Active,June-29-2019 02:00 PM,June-29-2019 04:00 PM,Bridge MLS,40871461,N,Y,37.8118317,-122.267668
MLS Listing,,Single Family Residential,2629 Ohio Ave,Richmond,CA,94804,499000,3,1,Richmond,1081,3838,1923,1,462,,Active,,,Bridge MLS,40871448,N,Y,37.9310945,-122.3439863
MLS Listing,,Single Family Residential,7940 Earl St,Oakland,CA,94605,599000,3,2,Alameda County,1290,5001,1933,2,464,,Active,June-24-2019 10:00 AM,June-24-2019 01:00 PM,BAREIS,21915836,N,Y,37.7705599,-122.1565765
MLS Listing,,Single Family Residential,9246 Crosscourt Way,Elk Grove,CA,95624,445000,3,2,Elk Grove,1777,6499,1998,2,,,Active,,,MetroList,19043470,N,Y,38.4494038,-121.3548422
MLS Listing,,Single Family Residential,9533 Amber Valley Ln,Las Vegas,NV,89134,340000,4,2.25,Hills @ Summerlin,2080,4356,1992,2,163,50,Active,,,GLVAR,2107339,N,Y,36.2026759,-115.303551
MLS Listing,,Single Family Residential,6801 Salewsky Ct,Elk Grove,CA,95757,470000,4,3,Elk Grove,2265,6046,2005,2,,,Active,,,MetroList,19043598,N,Y,38.3938394,-121.4220913
MLS Listing,,Single Family Residential,410 Birkhaven Pl,SAN JOSE,CA,95138,889999,3,2.5,SAN JOSE,1457,2473,1997,2,611,132,Active,June-30-2019 01:00 PM,June-30-2019 04:00 PM,MLSListings,ML81757794,N,Y,37.2404673,-121.7627633
MLS Listing,,Condo/Co-op,144 S 3rd St #526,SAN JOSE,CA,95112,829000,2,2,SAN JOSE,1421,1509,1997,2,583,600,Active,,,MLSListings,ML81757787,N,Y,37.3346801,-121.8861555
MLS Listing,,Condo/Co-op,52 Valmont Way,Ladera Ranch,CA,92694,449900,2,2,LD - Ladera Ranch,1275,,2004,2,353,434,Active,June-29-2019 11:00 AM,June-29-2019 02:00 PM,CRMLS,OC19146462,N,Y,33.5450613,-117.6442685
MLS Listing,,Single Family Residential,3390 Idlewild,Reno,NV,89509-2212,664900,5,3,Reno-Old Southwest,2954,10454,1965,2,225,,Active,,,NNRMLS,190009414,N,Y,39.5107337,-119.8513994
MLS Listing,,Single Family Residential,22 Pizarro Ave,Novato,CA,94949,999000,4,2.5,Novato,2068,6312,1998,2,483,13,Active,June-26-2019 09:30 AM,June-26-2019 12:30 PM,BAREIS,21915834,N,Y,38.0605537,-122.5165226
MLS Listing,,Single Family Residential,4417 Tallyho Dr,Sacramento,CA,95826,315000,3,2,Sacramento Rosemont/College Greens/Mayhew,1158,5201,1979,2,,,Active,,,MetroList,19043996,N,Y,38.542493,-121.350355
MLS Listing,,Condo/Co-op,1032 Los Gamos Rd Unit F,San Rafael,CA,94903,380000,2,1,San Rafael,,506603,,2,,560,Active,June-27-2019 10:30 AM,June-27-2019 02:00 PM,BAREIS,21915841,N,Y,38.0101328,-122.5437458
MLS Listing,,Single Family Residential,10711 Four Bears Dr,Bakersfield,CA,93312,375000,4,3,Bakersfield,2777,10019,1995,2,135,,Active,,,GEMLS,21907446,N,Y,35.3680703,-119.1223219
MLS Listing,,Condo/Co-op,53 Juneberry,Irvine,CA,92606,1050000,4,3,CG - Columbus Grove,2685,,2005,2,391,160,Active,,,CRMLS,OC19147140,N,Y,33.6929955,-117.8158905
MLS Listing,,Single Family Residential,1215 Adobe Ter,Vista,CA,92081,549000,3,2.5,Vista,1706,3295,1993,2,322,90,Active,June-29-2019 01:00 PM,June-29-2019 04:00 PM,SDMLS,190034446,N,Y,33.187914,-117.2685531
MLS Listing,,Townhouse,5420 Lindley Ave #22,Encino,CA,91316,715000,3,3,ENC - Encino,1890,112128,1973,2,378,395,Active,,,CRMLS,OC19147415,N,Y,34.1696558,-118.5265179
MLS Listing,,Single Family Residential,1021 Seneca Ct,Walnut Creek,CA,94598,1300000,4,2.5,Northgate,2114,9900,1972,2,615,,Active,,,Bridge MLS,40871361,N,Y,37.906361,-122.0171035
MLS Listing,,Single Family Residential,813 S Flintridge Dr,Santa Ana,CA,92704,664900,3,2,69 - Santa Ana South of First,1728,6000,1960,2,385,,Active,June-30-2019 01:00 PM,June-30-2019 04:00 PM,CRMLS,OC19146488,N,Y,33.7365036,-117.9353579
MLS Listing,,Single Family Residential,1009 Pinewood Ct,Madera,CA,93637,238500,2,2,Madera,1412,4910,1989,2,169,,Active,,,FRESNOMLS,525512,N,Y,36.9659406,-120.0911205
MLS Listing,,Single Family Residential,72 Avenida Martinez,El Sobrante,CA,94803,599000,3,2,Contra Costa,1485,8093,1965,2,403,,Active,June-30-2019 02:00 PM,June-30-2019 04:00 PM,BAREIS,21915835,N,Y,37.9668912,-122.2946509
MLS Listing,,Single Family Residential,604 E Boxwood Ln,Azusa,CA,91702,849900,4,3.5,607 - Azusa,2995,4795,2012,2,284,139,Active,June-30-2019 01:00 PM,June-30-2019 04:00 PM,CRMLS,PF19144796,N,Y,34.1434078,-117.8993826
MLS Listing,,Single Family Residential,1839 W Ranchero St,West Covina,CA,91790,578888,3,2,669 - West Covina,1191,7274,1953,2,486,,Active,,,CRMLS,BB19146800,N,Y,34.0855394,-117.9438243
