SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,18238 10th St,Bloomington,CA,92316,280000,3,1,265 - Bloomington,958,7900,1957,1,292,,Active,,,CRMLS,SW19147838,N,Y,34.0437582,-117.4064229
MLS Listing,,Single Family Residential,9533 Amber Valley Ln,Las Vegas,NV,89134,340000,4,2.25,Hills @ Summerlin,2080,4356,1992,2,163,50,Active,,,GLVAR,2107339,N,Y,36.2026759,-115.303551
MLS Listing,,Condo/Co-op,52 Valmont Way,Ladera Ranch,CA,92694,449900,2,2,LD - Ladera Ranch,1275,,2004,2,353,434,Active,June-29-2019 11:00 AM,June-29-2019 02:00 PM,CRMLS,OC19146462,N,Y,33.5450613,-117.6442685
MLS Listing,,Single Family Residential,3457 Angwin Dr,San Diego,CA,92123,649000,5,2,Serra Mesa,1612,6000,1960,2,403,,Active,,,SDMLS,190034495,N,Y,32.8049634,-117.1262685
MLS Listing,,Condo/Co-op,4082 Albatross St #13,San Diego,CA,92103,479995,2,2,Mission Hills,940,,1984,2,511,350,Active,,,SDMLS,190034469,N,Y,32.7515542,-117.1664826
MLS Listing,,Single Family Residential,10711 Four Bears Dr,Bakersfield,CA,93312,375000,4,3,Bakersfield,2777,10019,1995,2,135,,Active,,,GEMLS,21907446,N,Y,35.3680703,-119.1223219
MLS Listing,,Condo/Co-op,53 Juneberry,Irvine,CA,92606,1050000,4,3,CG - Columbus Grove,2685,,2005,2,391,160,Active,,,CRMLS,OC19147140,N,Y,33.6929955,-117.8158905
MLS Listing,,Townhouse,2880 Athens Rd #14,Chula Vista,CA,91915,489900,4,3.5,Chula Vista,1652,,2015,2,297,221,Active,June-24-2019 07:00 AM,June-24-2019 08:00 PM,SDMLS,190034448,N,Y,32.6332913,-116.9364724
MLS Listing,,Single Family Residential,1215 Adobe Ter,Vista,CA,92081,549000,3,2.5,Vista,1706,3295,1993,2,322,90,Active,June-29-2019 01:00 PM,June-29-2019 04:00 PM,SDMLS,190034446,N,Y,33.187914,-117.2685531
MLS Listing,,Condo/Co-op,3913 Caminito Del Mar Surf,San Diego,CA,92130,849000,3,2.5,Carmel Valley,1624,,1985,2,523,436,Active,,,SDMLS,190034440,N,Y,32.9383986,-117.2344943
