RegionName,State,Metro,CountyName,SizeRank,Jan-19,Feb-19,Mar-19,Apr-19,May-19
New York,NY,New York-Newark-Jersey City,Queens County,1,789000,789900,798000,799000,8.00E+05
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,799000,799888,8.00E+05,829999,840000
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,289900,290000,298995,3.00E+05,299900
Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,324999,330000,339900,349900,349000
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,240999,243999,243500,245000,244925
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,215000,219037,224990,235000,239900
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,279000,278900,280000,285000,285000
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,299900,299497,299000,299900,3.00E+05
San Diego,CA,San Diego-Carlsbad,San Diego County,9,689000,689000,699000,705000,711000
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,370000,379900,389900,399900,399900
Austin,TX,Austin-Round Rock,Travis County,11,375000,389069,392999,4.00E+05,399990
San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,12,929000,950000,989000,998000,998000
Jacksonville,FL,Jacksonville,Duval County,13,209900,210450,219000,219000,221490
Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,14,167000,169900,174900,176495,175990
San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,15,1249000,1295000,1299000,1299000,1295000
Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,16,285694.5,297500,299000,3.00E+05,299781
Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,17,259076.5,259990,259900,263000,264790
Tucson,AZ,Tucson,Pima County,18,225000,219900,224900,227700,229825
Columbus,OH,Columbus,Franklin County,19,164900,169900,181000,189900,189900
Louisville,KY,Louisville/Jefferson County,Jefferson County,20,199950,207000,210000,215000,224900
Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,21,279900,280000,285000,289000,287500
El Paso,TX,El Paso,El Paso County,22,175000,178250,179900,184972.5,184900
Denver,CO,Denver-Aurora-Lakewood,Denver County,23,469900,475000,484900,490000,494900
Seattle,WA,Seattle-Tacoma-Bellevue,King County,24,679000,686500,699880,699950,699950
Memphis,TN,Memphis,Shelby County,25,93000,94700,99000,105000,106500
Boston,MA,Boston-Cambridge-Newton,Suffolk County,26,719000,729000,739000,749000,745000
Washington,DC,Washington-Arlington-Alexandria,District of Columbia,27,575000,585000,589900,599900,599000
Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,28,449900,450000,459970,465000,467250
Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,29,319900,319900,324900,329000,329500
Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,30,312000,319000,325000,330000,335000
Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,31,150000,149900,159997,169900,169975
Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,32,119900,121900,125000,129900,134900
Fresno,CA,Fresno,Fresno County,33,278000,272400,275000,284900,286000
Omaha,NE,Omaha-Council Bluffs,Douglas County,34,220500,229900,239900,240000,235000
Albuquerque,NM,Albuquerque,Bernalillo County,35,220000,222000,226250,229900,235000
Oklahoma City,OK,Oklahoma City,Oklahoma County,36,189000,185000,189000,189900,190000
Raleigh,NC,Raleigh,Wake County,37,330000,325990,329000,339900,336953
Mesa,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,38,264000,267950,275000,279900,285000
Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,39,480000,479000,479250,475000,475000
Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,40,319900,320000,334046,339620,338000
Kansas City,MO,Kansas City,Jackson County,41,189000,195000,2.00E+05,210000,208000
Colorado Springs,CO,Colorado Springs,El Paso County,42,320000,329900,335500,339900,340000
Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,43,580000,595000,599000,599000,616000
Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,44,304900,309900,319000,315000,315000
Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,45,650000,669000,689000,698000,699000
Tulsa,OK,Tulsa,Tulsa County,46,174900,175000,184200,195000,198000
Minneapolis,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,47,319900,315000,320000,323000,320000
Honolulu,HI,Urban Honolulu,Honolulu County,48,655000,650000,650000,645000,645000
Cleveland,OH,Cleveland-Elyria,Cuyahoga County,49,79900,78900,79900,79900,82500
