SizeRank,RegionID,RegionName,RegionType,StateName,2019-01,2019-02,2019-03,2019-04,2019-05
1,6181,New York,City,NY,,3810,4623,4413,5226
2,12447,Los Angeles,City,CA,,1848,2115,2018,2300
3,39051,Houston,City,TX,2901,2881,3040,3096,3391
4,17426,Chicago,City,IL,,2811,3318,4133,3271
5,6915,San Antonio,City,TX,1705,1709,2110,1943,2232
6,13271,Philadelphia,City,PA,1568,1542,1818,1856,1942
7,40326,Phoenix,City,AZ,2278,2041,2254,2003,2118
8,18959,Las Vegas,City,NV,2842,2539,2828,2562,3042
9,54296,San Diego,City,CA,,1042,1282,1189,1450
10,38128,Dallas,City,TX,,1263,1411,1280,1443
11,10221,Austin,City,TX,850,794,989,991,1137
12,33839,San Jose,City,CA,,565,647,681,774
13,25290,Jacksonville,City,FL,1367,1296,1717,1307,1623
14,20330,San Francisco,City,CA,,370,454,377,420
15,24043,Charlotte,City,NC,968,947,1250,1097,1280
16,18172,Fort Worth,City,TX,1018,1085,1201,1104,1446
17,7481,Tucson,City,AZ,914,798,845,836,737
18,10920,Columbus,City,OH,611,451,597,657,746
19,12455,Louisville,City,KY,741,620,854,822,959
20,13121,Orlando,City,FL,1088,1012,1070,950,1156
21,17933,El Paso,City,TX,536,568,581,616,659
22,17762,Detroit,City,MI,,,,946,924
23,11093,Denver,City,CO,,894,887,1024,1152
24,16037,Seattle,City,WA,,541,850,938,1122
25,32811,Memphis,City,TN,564,615,651,564,548
26,44269,Boston,City,MA,,414,568,631,716
27,41568,Washington,City,DC,563,596,700,776,859
28,13373,Portland,City,OR,,579,895,884,1004
29,6118,Nashville,City,TN,865,936,1055,1070,1249
30,20288,Sacramento,City,CA,480,456,485,557,595
31,3523,Baltimore,City,MD,721,773,948,950,951
32,5976,Milwaukee,City,WI,312,276,347,415,448
33,18203,Fresno,City,CA,433,374,429,420,531
34,40152,Omaha,City,NE,380,387,402,580,747
35,23429,Albuquerque,City,NM,523,543,610,639,663
36,33225,Oklahoma City,City,OK,467,442,476,539,566
37,54047,Raleigh,City,NC,496,478,584,551,647
38,19331,Mesa,City,AZ,766,716,769,623,631
39,12700,Miami,City,FL,910,752,764,646,731
40,37211,Atlanta,City,GA,1015,1234,1132,1140,1188
41,18795,Kansas City,City,MO,520,391,495,607,624
42,4172,Colorado Springs,City,CO,467,464,521,635,819
43,46298,Long Beach,City,CA,,258,237,275,289
44,41515,Virginia Beach,City,VA,,620,753,738,959
45,13072,Oakland,City,CA,,260,279,244,303
46,20859,Tulsa,City,OK,441,454,463,521,509
47,5983,Minneapolis,City,MN,267,286,336,475,550
48,18615,Honolulu,City,HI,577,452,457,542,519
49,24115,Cleveland,City,OH,241,254,317,295,322
50,19594,New Orleans,City,LA,361,314,344,386,366
51,50763,Arlington,City,TX,318,347,353,366,435
52,25428,Knoxville,City,TN,417,447,502,498,577
53,44055,Baton Rouge,City,LA,492,504,524,523,563
54,20334,San Juan,City,LA,69,53,91,36,51
55,7929,Wichita,City,KS,344,323,418,395,425
56,41176,Tampa,City,FL,644,583,651,632,661
57,16846,Aurora,City,CO,392,411,379,524,579
58,47401,Riverside,City,CA,266,233,263,284,303
59,3506,Bakersfield,City,CA,326,351,410,365,435
60,4099,Cincinnati,City,OH,268,260,321,355,359
61,26529,Pittsburgh,City,PA,,274,374,392,390
62,16764,Anaheim,City,CA,,157,171,156,189
63,47568,Santa Ana,City,CA,104,92,108,99,96
64,4174,Columbia,City,SC,401,377,440,396,483
65,32172,Islip,City,NY,,308,323,327,375
66,12562,Marietta,City,GA,389,544,516,485,554
67,48215,Vancouver,City,WA,311,284,372,340,465
68,38025,Corpus Christi,City,TX,,312,387,366,419
69,6891,Saint Louis,City,MO,257,280,358,360,332
70,11722,Greensboro,City,NC,268,275,339,298,307
71,25574,Lexington,City,KY,301,272,358,348,441
72,7081,Silver Spring,City,MD,167,129,225,277,288
73,34303,Toledo,City,OH,251,193,257,309,255
74,23482,Anchorage,City,AK,,291,351,395,467
75,20313,Saint Paul,City,MN,154,162,207,232,361
76,19533,Naples,City,FL,1631,1351,1142,1015,870
77,24457,Durham,City,NC,213,202,282,267,377
78,47945,Tallahassee,City,FL,319,320,355,385,375
79,7266,Stockton,City,CA,192,189,228,243,224
80,53915,Plano,City,TX,219,260,340,342,389
81,12970,Newark,City,NJ,160,135,144,130,150
82,11867,Henderson,City,NV,617,578,659,613,738
83,32503,Lincoln,City,NE,,215,220,313,374
84,25934,Modesto,City,CA,219,182,231,205,241
85,13478,Reno,City,NV,293,295,364,464,571
86,20604,Spokane,City,WA,254,236,319,390,521
87,17384,Chandler,City,AZ,452,406,436,389,465
88,53060,Lubbock,City,TX,337,333,355,285,374
89,25320,Jersey City,City,NJ,,241,264,265,309
90,17222,Buffalo,City,NY,100,80,98,103,112
91,32900,Mobile,City,AL,293,289,321,330,424
92,25104,Hialeah,City,FL,192,164,159,157,133
93,20328,San Bernardino,City,CA,206,174,172,186,181
94,51405,Chula Vista,City,CA,,178,203,195,224
95,26922,Saint Petersburg,City,FL,583,484,499,417,498
96,53856,Pensacola,City,FL,391,355,452,399,526
97,5573,Lawrenceville,City,GA,303,377,325,355,394
98,398849,Madison,City,WI,,195,288,304,405
99,41760,Winston-Salem,City,NC,191,252,305,250,236
100,6210,Norfolk,City,VA,327,302,367,327,343
101,18298,Glendale,City,AZ,276,259,275,260,271
102,54346,Scottsdale,City,AZ,,714,775,691,683
103,52001,Fayetteville,City,NC,,,376,375,408
104,3737,Boise,City,ID,185,156,229,305,324
105,52650,Irvine,City,CA,,274,342,285,308
106,52893,Laredo,City,TX,148,129,141,100,129
107,20362,Sarasota,City,FL,,669,680,517,613
108,44564,Chesapeake,City,VA,308,345,433,464,513
109,31614,Fort Myers,City,FL,1027,814,757,684,501
110,18251,Garland,City,TX,199,182,261,222,226
111,7204,Spring,City,TX,367,337,470,407,439
112,4888,Gilbert,City,AZ,438,372,466,408,439
113,26187,North Las Vegas,City,NV,425,358,457,410,455
114,11540,Fremont,City,CA,,143,179,196,219
115,54311,Santa Clarita,City,CA,242,239,243,287,288
116,24741,Fontana,City,CA,168,137,199,135,163
117,12065,Irving,City,TX,163,127,177,165,183
118,30258,Arlington,City,VA,123,129,176,194,203
119,7222,Springfield,City,MO,234,247,277,243,278
120,10417,Birmingham,City,AL,201,197,210,167,230
121,24960,Greenville,City,SC,205,216,282,277,300
122,26967,Santa Rosa,City,CA,101,110,146,147,185
123,13150,Oxnard,City,CA,72,84,100,107,126
124,6752,Richmond,City,VA,178,189,243,266,300
125,17759,Des Moines,City,IA,223,179,225,305,301
126,53673,Ocala,City,FL,604,516,487,452,585
127,10477,Boca Raton,City,FL,736,633,641,573,694
128,40897,Shreveport,City,LA,243,245,272,245,246
129,14701,Woodbridge,City,VA,175,188,263,256,316
130,13550,Rochester,City,NY,88,99,100,96,125
131,32931,Montgomery,City,AL,247,246,256,266,237
132,44282,Bradenton,City,FL,529,477,459,379,393
133,24225,Corona,City,CA,,184,195,209,251
134,6285,Oceanside,City,CA,,179,171,213,218
135,27362,Tacoma,City,WA,193,121,181,163,249
